password,zxcvbn_score,zxcvbn_guesses,attack_match_type
!1990_1992testz,4,2227600000000,contains_common_password
!1990summersage,4,37396000000,contains_common_password
!1993#testuser,4,38250010000,contains_common_password
!1993springstony,4,121663600000,contains_common_password
!1995spring2010jane,4,7218520000000,contains_common_password
!1996_aleksandar,4,24524010000,contains_common_password
!1998fallwheezing,4,1117298843200,contains_common_password
!1999falldavid,4,15100000000,contains_common_password
!1999winterz2001,4,1245520000000,contains_common_password
!2000springbuck,4,265396600000,contains_common_password
!2000summerlucky,4,11774800000,contains_common_password
!2000summershy,4,26740000000,contains_common_password
!2000summertest123,4,24691600000,contains_common_password
!2000testfall,4,30064600000,contains_common_password
!2000testuseradmin,4,1180501750000,contains_common_password
!2000user@michael,4,1000000010000,contains_common_password
!2000winterbuck,4,73421200000,contains_common_password
!2001admin2008,4,21550000000,contains_common_password
!2001falljordan!,4,1660000000000,contains_common_password
!2001frodo22,4,33100000000,contains_common_password
!2001puppy#summer,4,1910800000000,contains_common_password
!2001summer1205yin,4,10108000000000,contains_common_password
!2001summer2007harry,4,1579600000000,contains_common_password
!2001summer_alexey,4,7222585600000,contains_common_password
!2001summeradmin,4,29701000000,contains_common_password
!2001summertest2008,4,1770040000000,contains_common_password
!2001testkitten,4,18235000000,contains_common_password
!2001useradmin,4,673201000000,contains_common_password
!2001userbuddy,4,304172200000,contains_common_password
!2001userlucky,4,265574800000,contains_common_password
!2002springbokwolfgail,4,3289487440000000,contains_common_password
!2002springdavid,4,20290000000,contains_common_password
!2002springkaye,4,319102000000,contains_common_password
!2002springtest2017brian,4,11877670000000000,contains_common_password
!2002summerspringharry,4,8801416000000,contains_common_password
!2002testadmin,4,39997000000,contains_common_password
!2002testuseradmin,4,1180501750000,contains_common_password
!2003adminfall,4,230473000000,contains_common_password
!2003adminpussy,4,21550000000,contains_common_password
!2003admintest,4,39997000000,contains_common_password
!2003fallbryan,4,30100000000,contains_common_password
!2003fallzhang,4,959200000000,contains_common_password
!2003gardenbuddy,4,195838000000,contains_common_password
!2003springbruce,4,27154600000,contains_common_password
!2003testadminzhang,4,511202836000000,contains_common_password
!2003testuserdavid,4,573850000000,contains_common_password
!2003userfall,4,330100000000,contains_common_password
!2004fallsweeper,4,1076568896800,contains_common_password
!2004springspring_alex,4,2779360000000,contains_common_password
!2004testjuliet,4,48980800000,contains_common_password
!2004testspring,4,37653400000,contains_common_password
!2004winterman252,4,3455200000000,contains_common_password
!2004wintertrendy,4,766234000000,contains_common_password
!2005#winterhoney,4,237808000000,contains_common_password
!2005fallmango1,4,1058777012800,contains_common_password
!2005springdanny,4,40076200000,contains_common_password
!2005springjason,4,20290000000,contains_common_password
!2005springtestdavid,4,8510680000000,contains_common_password
!2005summerspringschooledad,4,288622000000000000,contains_common_password
!2005testwinter,4,10478800000,contains_common_password
!2005userlulu,4,190262800000,contains_common_password
!2005winterbuck,4,73421200000,contains_common_password
!2005wintersonny,4,41057200000,contains_common_password
!2006#testdawn,4,58690000000,contains_common_password
!2006#testpuppy,4,1037980000000,contains_common_password
!2006_alexeytest,4,1906228000000,contains_common_password
!2006fallkrisstine,4,1743474400000000,contains_common_password
!2006jill29test,4,2227600000000,contains_common_password
!2006springdaisy22,4,24339640000000,contains_common_password
!2006springkelly,4,27154600000,contains_common_password
!2006springshawnshawn,4,73591600000,contains_common_password
!2006springspring1277,4,1129893280000,contains_common_password
!2006test2129,4,330100000000,contains_common_password
!2006testsummer#,4,1169408800000,contains_common_password
!2006useradmin,4,673201000000,contains_common_password
!2006userfall,4,330100000000,contains_common_password
!2006winternycandrew,4,23320000000000,contains_common_password
!2006wintervonne,4,1245520000000,contains_common_password
!20071231@summer,4,1001462744800,contains_common_password
!2007admin2004,4,21550000000,contains_common_password
!2007adminuser,4,673201000000,contains_common_password
!2007falltangerine,4,1086974668000,contains_common_password
!2007springlady_,4,1888360000000,contains_common_password
!2007springmaggie,4,24328000000,contains_common_password
!2007test2012spring,4,8510680000000,contains_common_password
!2007testadmin,4,39997000000,contains_common_password
!2007winterstahl,4,167723200000,contains_common_password
!2008!springbuck,4,2653066000000,contains_common_password
!2008fallgabriel,4,62200000000,contains_common_password
!2008fallpuppy,4,558100000000,contains_common_password
!2008springderek,4,63900400000,contains_common_password
!2008springytesttaste,4,14148641200000000,contains_common_password
!2008summercandy,4,22621600000,contains_common_password
!2008summerkitty12,4,4621340800000,contains_common_password
!2008test@david,4,258400000000,contains_common_password
!2008testadmin,4,39997000000,contains_common_password
!2008testadminspring,4,108402724000000,contains_common_password
!2008testme123,4,328450000000,contains_common_password
!2008testuser32,4,573850000000,contains_common_password
!2008userdude,4,330100000000,contains_common_password
!2008userstefan,4,556467400000,contains_common_password
!2008userzhang,4,1066212427600,contains_common_password
!2008winterhoney,4,23870800000,contains_common_password
!2008winterlilah,4,550734400000,contains_common_password
!2008wintermanx,4,1024552000000,contains_common_password
!2009admin2014,4,21550000000,contains_common_password
!2009adminjordan,4,21550000000,contains_common_password
!2009fall@summer_,4,45540100000000,contains_common_password
!2009falladmin123,4,1051341281200,contains_common_password
!2009fallferrarialex,4,20750800000000,contains_common_password
!2009falljames,4,15100000000,contains_common_password
!2009falljessie,4,64000000000,contains_common_password
!2009fallkate,4,132400000000,contains_common_password
!2009fallmike,4,31000000000,contains_common_password
!2009falluseruser,4,942100000000,contains_common_password
!2009fallwax,4,33100000000,contains_common_password
!2009frohlingspring,4,889360000000000,contains_common_password
!2009springadminbryan,4,116486800000000,contains_common_password
!2009springchris,4,38057200000,contains_common_password
!2009springcynthia,4,20290000000,contains_common_password
!2009springdanny,4,40076200000,contains_common_password
!2009springspring2009,4,40540000000,contains_common_password
!2009summer1127,4,302320000000,contains_common_password
!2009summer@spring,4,2225936800000,contains_common_password
!2009summerfallfrost,4,57646626400000,contains_common_password
!2009summeruser123,4,1022729014000,contains_common_password
!2009summerxie,4,41500000000,contains_common_password
!2009userbruno,4,548936200000,contains_common_password
!2009userdavid,4,47170000000,contains_common_password
!2009usergabriel,4,194969800000,contains_common_password
!2009usermania,4,1209344766400,contains_common_password
!2009userrain,4,330100000000,contains_common_password
!2009userwinter,4,175200400000,contains_common_password
!2009winterbuck,4,73421200000,contains_common_password
!2009winterhobbs,4,62484400000,contains_common_password
!2009winterwonderful,4,42731200000,contains_common_password
!2009winterzhang,4,356885200000,contains_common_password
!2009winterzhangbo,4,25552000000000,contains_common_password
!2010adminfall,4,230473000000,contains_common_password
!2010fall12mike,4,2359600000000,contains_common_password
!2010falljamesb,4,1057713752800,contains_common_password
!2010fallwanna,4,71500000000,contains_common_password
!2010summer2000_,4,1091080000000,contains_common_password
!2010summerjade,4,39016000000,contains_common_password
!2010testusertest,4,1023477850000,contains_common_password
!2011adminlucas,4,111211000000,contains_common_password
!2011jazzy12,4,33100000000,not_matched
!2011spring_wood,4,1888360000000,contains_common_password
!2011springjessica,4,20290000000,contains_common_password
!2011springjulian,4,102261400000,contains_common_password
!2011test2012user,4,18510040000000,contains_common_password
!2011winterxiao,4,372286000000,contains_common_password
!2012#spring17nata,4,4038000100000000,not_matched
!2012admintest,4,39997000000,contains_common_password
!2012springmike,4,41691400000,contains_common_password
!2012springtestspring,4,102093752800000,contains_common_password
!2012test1989cindy,4,2261080000000,contains_common_password
!2012useradmin,4,673201000000,contains_common_password
!2013adminpeter,4,21550000000,contains_common_password
!2013falldavidmeister,4,177820000000000,contains_common_password
!2013springfallmichael,4,44368120000000,contains_common_password
!2013springhanso,4,1888360000000,not_matched
!2013springkiki,4,81667600000,contains_common_password
!2013summer1225kate,4,92080000000000,contains_common_password
!2013testwang,4,49315600000,contains_common_password
!2014!springgirly,4,25750426000000,not_matched
!2014falladminadmin,4,422216849152,contains_common_password
!2014spring#testuser,4,311874119776000,contains_common_password
!2014springchris,4,34826283136,contains_common_password
!2014springjennifer,4,18571427200,contains_common_password
!2014summerfall2015mike,4,12094961205952000,contains_common_password
!2014user24test,4,2227600000000,contains_common_password
!2014winter13cynthia,4,3042012160000,contains_common_password
!2015#summerfalllucky,4,251774704000000,contains_common_password
!2015#testuser,4,38250010000,contains_common_password
!2015adminspring,4,288817000000,contains_common_password
!2015springadminadmin,4,578341600000,contains_common_password
!2015springjoseph,4,20290000000,contains_common_password
!2015testfallspring,4,81664703200000,contains_common_password
!2015winterwinston,4,21973600000,contains_common_password
!2016#fall_alex,4,2993200000000,contains_common_password
!2016springjane,4,31192600000,contains_common_password
!2016springspring2_,4,80980000000,not_matched
!2016testfall12test,4,10570834000000000,contains_common_password
!2016testspring,4,37653400000,contains_common_password
!2016testuserfall,4,1135565650000,not_matched
!2016user@spring,4,1888360000000,contains_common_password
!2016userfall,4,330100000000,not_matched
!2016usertest,4,87650200000,contains_common_password
!2016winterzachary,4,19406800000,contains_common_password
!2016winterzhenzhong,4,2456200000000000,contains_common_password
!2017falladmingarden,4,867580000000000,contains_common_password
!2017fallferrum22,4,709840000000000,not_matched
!2017falljones,4,15100000000,contains_common_password
!2017fallspringhomer,4,231973600000000,contains_common_password
!2017springadmin34,4,58743400000000,not_matched
!2017springwheatfall,4,1874502784000000,not_matched
!2017testadminuser,4,251393572000000,contains_common_password
!2017winterbutterfly,4,98531200000,contains_common_password
!2018admintest10,4,8979400000000,not_matched
!2018falljake2014,4,22900000000000,not_matched
!2018fallstefan,4,177400000000,contains_common_password
!2018springchris,4,38057200000,contains_common_password
!2018springharry,4,28366000000,contains_common_password
!2018springjasonharry,4,6653200000000,contains_common_password
!2018springkathryn,4,33211600000,contains_common_password
!2018userjessica,4,47170000000,contains_common_password
!2018winterzhang,4,356885200000,contains_common_password
!2019#summergina,4,87454000000,contains_common_password
!2019falldavid,4,15100000000,contains_common_password
!2019spring2005kate,4,36615160000000,contains_common_password
!2019springferrereason,4,6451572553600000,contains_common_password
!2019springmackenzie,4,606203800000,not_matched
!2019springpuppy,4,751168000000,contains_common_password
!2019testarabbit,4,441793000000,contains_common_password
!2019testuser2019,4,573850000000,not_matched
!2019usersummer,4,65056600000,contains_common_password
!2020#spring2022bruce,4,7900943200000000,contains_common_password
!2020#summerhose,4,1227610000000,contains_common_password
!2020admintest,4,39997000000,contains_common_password
!2020falljimmy,4,29200000000,contains_common_password
!2020fallpavel2018,4,241780000000000,contains_common_password
!2020falltest1994,4,6580000000000,contains_common_password
!2020spring2015david,4,5038000000000,contains_common_password
!2020spring24squirrel,4,208068640000000,contains_common_password
!2020springdavid,4,20290000000,contains_common_password
!2020springjoshua,4,20290000000,contains_common_password
!2020springpeter11,4,5038000000000,contains_common_password
!2020springuser2021,4,3589974400000000,contains_common_password
!2020springwinterzhang,4,961465758400000,contains_common_password
!2020springxie21,4,4588974400000,contains_common_password
!2020squirrel2020,4,155478400000,contains_common_password
!2020summer19harry,4,2159200000000,contains_common_password
!2020summer2020winter,4,7221923200000,contains_common_password
!2020summergarden,4,41914000000,contains_common_password
!2020summerkent,4,11029600000,contains_common_password
!2020testdavies,4,52273000000,contains_common_password
!2020userfall,4,505631800000,contains_common_password
!2020userrainfall,4,1288165100608,contains_common_password
!2020userspring,4,633662200000,contains_common_password
!2020winterfall_olaf,4,9920008000000000,contains_common_password
!2020winterman1992,4,2964160000000,contains_common_password
!2020winterzhang,4,356885200000,contains_common_password
!2021#fallspring,4,2019100000000,contains_common_password
!2021@springin2022,4,4038000100000000,not_matched
!2021admintestspring,4,108402724000000,contains_common_password
!2021fall2004user,4,95140000000000,contains_common_password
!2021kikishawarabushan,4,54041929600000000000,contains_common_password
!2021springspringtiger,4,169948000000,contains_common_password
!2021summerfallkris,4,48842833600000,contains_common_password
!2021summerjenny,4,11526400000,contains_common_password
!2021summerzhang,4,132455800000,contains_common_password
!2021testspring,4,37653400000,contains_common_password
!2021useradmin,4,673201000000,contains_common_password
!2022#userpeter,4,470800000000,contains_common_password
!2022summerlilah,4,204367600000,not_matched
!2022testrunner2022,4,615268720000000,not_matched
!2023@jazzy,4,11280010000,contains_common_password
!2023adminuser,4,673201000000,contains_common_password
!2023falljessie,4,64000000000,contains_common_password
!2023springbuckymac,4,7421080201600000,not_matched
!2023testkaz,4,55900000000,not_matched
!2023tiger2020spring,4,69516784000000,contains_common_password
!2023user3111,4,1000000010000,not_matched
#1990_levon_,4,33100000000,contains_common_password
#1990fall#thepass,4,81520000000000,contains_common_password
#1990fallguy12,4,1708840000000,contains_common_password
#1990fallkrisp,4,1708840000000,contains_common_password
#1990jerryjapan,4,13870000000,contains_common_password
#1990springdavid,4,20290000000,contains_common_password
#1990springjessica,4,20290000000,contains_common_password
#1990springman1990,4,8106880000000,contains_common_password
#1990summer_alex,4,1091080000000,contains_common_password
#1990summerlilic,4,1091080000000,contains_common_password
#1990summermemeysummary,4,11077021000000000,contains_common_password
#1990winter_alexis,4,2374912000000,contains_common_password
#1990winterbutterfly,4,98531200000,contains_common_password
#1990wintermike,4,11594800000,contains_common_password
#1990winterniki,4,144622000000,contains_common_password
#1991falljames,4,15100000000,contains_common_password
#1991falljerry,4,15100000000,contains_common_password
#1991winterfrost!,4,3455200000000,contains_common_password
#1992fall#meowstic,4,7089400000000000,contains_common_password
#1992fall102786peter,4,679900000000000,contains_common_password
#1992summerfallgina,4,19763639200000,contains_common_password
#1992testfall15test,4,10570834000000000,contains_common_password
#1992testkent,4,14831200000,contains_common_password
#1992winter12kate,4,1057769588800,contains_common_password
#1992winterzhang,4,356885200000,contains_common_password
#1993falldanielcristina,4,26140000000000,contains_common_password
#1993fallpalestine,4,934600000000,contains_common_password
#1993springadmin,4,288817000000,contains_common_password
#1993springpierro,4,9883600000000,contains_common_password
#1993testchess,4,145180000000,contains_common_password
#1993winterstuck,4,78331600000,contains_common_password
#1994!winterkings,4,1955332000000,contains_common_password
#1994falljohnny,4,28600000000,contains_common_password
#1994fallwheat,4,648100000000,contains_common_password
#1994springkayla,4,133354000000,contains_common_password
#1994summeralexandre,4,191906200000,contains_common_password
#1994summerfallandrois,4,34454980000000000,contains_common_password
#1994summerspringbrazil,4,75893593600000,contains_common_password
#1994testuserlady,4,1111078000000,contains_common_password
#1994winter2049kathryn,4,268215040000000,contains_common_password
#1995admintest,4,39997000000,contains_common_password
#1995fallkris,4,161500000000,contains_common_password
#1995fallmike,4,31000000000,contains_common_password
#1995springfrog,4,523424800000,contains_common_password
#1995summeralberto,4,10325800000,contains_common_password
#1995summerfallbridget,4,32924864800000,contains_common_password
#1995testfall,4,30064600000,contains_common_password
#1995testkitten,4,18235000000,contains_common_password
#1995userzachary,4,162962200000,contains_common_password
#1995winterinsect,4,462347200000,contains_common_password
#1996fallstrogan,4,17038000000000,contains_common_password
#1996springbuckbilly,4,78466607200000,contains_common_password
#1996springjackson,4,20290000000,contains_common_password
#1996springkenneth,4,20290000000,contains_common_password
#1996springmanw,4,1088836000000,contains_common_password
#1996springwesley,4,66727000000,contains_common_password
#1996testfallhomer,4,35279502400000,contains_common_password
#1996testlady,4,24652000000,contains_common_password
#1996wintergabriel,4,23201200000,contains_common_password
#1997fallcherry,4,120700000000,contains_common_password
#1997springfalltiger,4,183146104000000,contains_common_password
#1997springhank,4,323543800000,contains_common_password
#1997springthomasd,4,1238631263200,contains_common_password
#1997testuseradmin,4,1180501750000,contains_common_password
#1997winter_alexey,4,17773926400000,contains_common_password
#1998admintest,4,39997000000,contains_common_password
#1998falljessie,4,64000000000,contains_common_password
#1998falljimmy,4,29200000000,contains_common_password
#1998fallpeterhawkins,4,10000000000000,contains_common_password
#1998springfrost,4,257320600000,contains_common_password
#1998test@harry,4,361720000000,contains_common_password
#1998winterfrodo,4,282671200000,contains_common_password
#1998winterfrostpuppy,4,529903648000000,contains_common_password
#1999_leslielewis,4,43000000000,contains_common_password
#1999fall#testuser,4,26245000000000,contains_common_password
#1999fallfrostmerry,4,818908000000000,contains_common_password
#1999fallgabriel,4,62200000000,contains_common_password
#1999falljessica,4,15100000000,contains_common_password
#1999falljoseph,4,15100000000,contains_common_password
#1999fallzombie,4,182500000000,contains_common_password
#1999spring_ashley,4,2119333600000,contains_common_password
#1999springbridget,4,145064200000,contains_common_password
#1999springfrosted,4,1082839570000,contains_common_password
#1999springjane,4,31192600000,contains_common_password
#1999springkaren,4,20290000000,contains_common_password
#1999springtest322,4,89836000000000,contains_common_password
#1999springtestadmin,4,108402724000000,contains_common_password
#1999springwinterrobert,4,16021360000000,contains_common_password
#1999testfall,4,30064600000,contains_common_password
#1999testmeferman,4,123760000000000,contains_common_password
#1999usertiger,4,197794000000,contains_common_password
#1999userzhang,4,1066212427600,contains_common_password
#1999wintercandy,4,60810400000,contains_common_password
#1999winterfallmichael,4,12985840000000,contains_common_password
#1999winterzhang,4,356885200000,contains_common_password
#200003_boyson,4,3000100000000,contains_common_password
#2000springdavid,4,20290000000,contains_common_password
#2000springmanx,4,1088836000000,contains_common_password
#2000summer2019wolfgang,4,8501680000000,contains_common_password
#2000summerzzy,4,41500000000,contains_common_password
#2000winterwolf,4,52105600000,contains_common_password
#2001!userzane,4,1884400000000,contains_common_password
#2001@joshie,4,33100000000,contains_common_password
#2001_alexandrefall,4,14927626000000,contains_common_password
#2001_ewmatt,4,33100000000,contains_common_password
#2001fall123456,4,15100000000,contains_common_password
#2001fall2012mike,4,7180000000000,contains_common_password
#2001fallspring2020jim,4,130720048000000000,contains_common_password
#2001falltest100,4,71884000000000,contains_common_password
#2001puppytest,4,103888000000,contains_common_password
#2001spring12kate,4,1138206930400,contains_common_password
#2001spring1980julien,4,334054240000000,contains_common_password
#2001springdell,4,900574000000,contains_common_password
#2001springfalllouis,4,66052180000000,contains_common_password
#2001springjane,4,31192600000,contains_common_password
#2001springuserxw,4,9883600000000,contains_common_password
#2001summernico,4,238274200000,contains_common_password
#2001summerzombie,4,25271200000,contains_common_password
#2001test1989winter,4,3075760000000,contains_common_password
#2001test2181,4,330100000000,contains_common_password
#2001testjosh,4,21192400000,contains_common_password
#2001testspring,4,37653400000,contains_common_password
#2001winterfalcon,4,12376000000,contains_common_password
#2001winterhoney,4,23870800000,contains_common_password
#2001winterjane#,4,1245520000000,contains_common_password
#2001wintermick,4,416926000000,contains_common_password
#2002!raineywinter,4,1190872000000,contains_common_password
#2002admintest,4,39997000000,contains_common_password
#2002falldaniel,4,15100000000,contains_common_password
#2002gardenmeow,4,1045688764000,contains_common_password
#2002juliettest,4,26432800000,contains_common_password
#2002springadminadmin,4,578341600000,contains_common_password
#2002springgirllady,4,143848288000000,contains_common_password
#2002springmanwomanshamsale,4,543256105600000000000,contains_common_password
#2002springvibes,4,1038457104400,contains_common_password
#2002springwinterzhang,4,961465758400000,contains_common_password
#2002testman@,4,296398000000,contains_common_password
#2002testspring,4,37653400000,contains_common_password
#2002testwinterman,4,4653337600000,contains_common_password
#2002userdude,4,330100000000,contains_common_password
#2002userwinter,4,175200400000,contains_common_password
#2002winterfrenchshack,4,351937360000000,contains_common_password
#2002winterkazaa,4,1245520000000,contains_common_password
#2002winterkiss,4,54114400000,contains_common_password
#2003frostfall,4,205341400000,contains_common_password
#2003kellyvibes,4,174125800000,contains_common_password
#2003springyzhang,4,9883600000000,contains_common_password
#2003summerfjord,4,368270200000,contains_common_password
#2003summertestadmin,4,12011572000000,contains_common_password
#2003summervicky,4,15293800000,contains_common_password
#2003winterpavel,4,447950800000,contains_common_password
#2004fall#mikeoak,4,709840000000000,contains_common_password
#2004fall1950scharlie,4,77500000000000,contains_common_password
#2004falljoseph,4,15100000000,contains_common_password
#2004fallmanewest,4,50249200000000,contains_common_password
#2004springfog,4,403900000000,contains_common_password
#2004springjayman,4,1072241435200,contains_common_password
#2004springjimmy,4,39268600000,contains_common_password
#2004springjulyrudy,4,81126841600000,contains_common_password
#2004springkrisztine,4,8884600000000000,contains_common_password
#2004springwinterdaniel,4,16021360000000,contains_common_password
#2004summerbreeze,4,73750600000,contains_common_password
#2004summerwitness,4,36946000000,contains_common_password
#2004test@manly,4,1401305212000,contains_common_password
#2004user#michael,4,1000000010000,contains_common_password
#2004userdavid,4,47170000000,contains_common_password
#2004usertest,4,87650200000,contains_common_password
#2004winterknight,4,16505200000,contains_common_password
#2004winterstar,4,49092400000,contains_common_password
#2005_ashleyrain,4,454078000000,contains_common_password
#2005admin21spring,4,58743400000000,contains_common_password
#2005adminspring,4,288817000000,contains_common_password
#2005admintestuser,4,1180501750000,contains_common_password
#2005fall1001zhang,4,4221040000000000,contains_common_password
#2005fall_alexander,4,1121440000000,contains_common_password
#2005fallmaniac10,4,75700000000000,contains_common_password
#2005fallsarah,4,15100000000,contains_common_password
#2005springbrilliant,4,447106600000,contains_common_password
#2005springfallsomerock,4,95630352940000000,contains_common_password
#2005springtome,4,1088836000000,contains_common_password
#2005summerdaisy,4,12064600000,contains_common_password
#2005summerkitty,4,21255400000,contains_common_password
#2005test#test,4,1122760000000,contains_common_password
#2005testmantest,4,2826668800000,contains_common_password
#2005testpuppy,4,103888000000,contains_common_password
#2005testshock,4,65107000000,contains_common_password
#2005testyamix,4,1122760000000,contains_common_password
#2005testzombie,4,34026400000,contains_common_password
#2005useradmin,4,673201000000,contains_common_password
#2005wintercaroline,4,27442000000,contains_common_password
#2005wintercassie,4,42954400000,contains_common_password
#2005winterpawpaw,4,223523200000,contains_common_password
#2005winterpuppy,4,207676000000,contains_common_password
#2005winterwheat,4,241156000000,contains_common_password
#2005winterwheather,4,1260251200000,contains_common_password
#2006@summer_lee,4,1910800000000,contains_common_password
#2006fall#chris2,4,11303920000000,contains_common_password
#2006fall#kateyss,4,709840000000000,contains_common_password
#2006fallcandy,4,163300000000,contains_common_password
#2006fallgabriela,4,178600000000,contains_common_password
#2006falljames,4,15100000000,contains_common_password
#2006spring#testuser,4,340797700000000,contains_common_password
#2006springfashion27sandy,4,401512366000000000,contains_common_password
#2006springtestnicholas,4,10613670400000,contains_common_password
#2006springwolverine,4,518983000000,contains_common_password
#2006springzabryce,4,74814640000000,contains_common_password
#2006summer123test,4,1023712678000,contains_common_password
#2006summerfrostjill,4,17772464800000,contains_common_password
#2006testguy!,4,330100000000,contains_common_password
#2006testman#,4,330100000000,contains_common_password
#2006testusertest,4,1023477850000,contains_common_password
#2006wintercandy,4,60810400000,contains_common_password
#2006winterhazel,4,15500800000,contains_common_password
#2006winterjimmy,4,10925200000,contains_common_password
