password,zxcvbn_score,guesses,crack_time_offline_fast_hashing_1e10_per_second,matched_sequence_count
!1990_1992testz,4,2227600000000,4 minutes,4
!1990summersage,4,37396000000,4 seconds,3
!1993#testuser,4,38250010000,4 seconds,2
!1993springstony,4,121663600000,12 seconds,3
!1995spring2010jane,4,7218520000000,12 minutes,4
!1996_aleksandar,4,24524010000,2 seconds,2
!1998fallwheezing,4,1117298843200,2 minutes,4
!1999falldavid,4,15100000000,2 seconds,3
!1999winterz2001,4,1245520000000,2 minutes,4
!2000springbuck,4,265396600000,27 seconds,3
!2000summerlucky,4,11774800000,1 second,3
!2000summershy,4,26740000000,3 seconds,3
!2000summertest123,4,24691600000,2 seconds,3
!2000testfall,4,30064600000,3 seconds,3
!2000testuseradmin,4,1180501750000,2 minutes,4
!2000user@michael,4,1000000010000,2 minutes,2
!2000winterbuck,4,73421200000,7 seconds,3
!2001admin2008,4,21550000000,2 seconds,3
!2001falljordan!,4,1660000000000,3 minutes,4
!2001frodo22,4,33100000000,3 seconds,3
!2001puppy#summer,4,1910800000000,3 minutes,4
!2001summer1205yin,4,10108000000000,17 minutes,4
!2001summer2007harry,4,1579600000000,3 minutes,4
!2001summer_alexey,4,7222585600000,12 minutes,4
!2001summeradmin,4,29701000000,3 seconds,3
!2001summertest2008,4,1770040000000,3 minutes,4
!2001testkitten,4,18235000000,2 seconds,3
!2001useradmin,4,673201000000,1 minute,3
!2001userbuddy,4,304172200000,30 seconds,3
!2001userlucky,4,265574800000,27 seconds,3
!2002springbokwolfgail,4,3289487440000000,4 days,4
!2002springdavid,4,20290000000,2 seconds,3
!2002springkaye,4,319102000000,32 seconds,3
!2002springtest2017brian,4,11877670000000000,14 days,5
!2002summerspringharry,4,8801416000000,15 minutes,4
!2002testadmin,4,39997000000,4 seconds,3
!2002testuseradmin,4,1180501750000,2 minutes,4
!2003adminfall,4,230473000000,23 seconds,3
!2003adminpussy,4,21550000000,2 seconds,3
!2003admintest,4,39997000000,4 seconds,3
!2003fallbryan,4,30100000000,3 seconds,3
!2003fallzhang,4,959200000000,2 minutes,3
!2003gardenbuddy,4,195838000000,20 seconds,3
!2003springbruce,4,27154600000,3 seconds,3
!2003testadminzhang,4,511202836000000,14 hours,4
!2003testuserdavid,4,573850000000,57 seconds,3
!2003userfall,4,330100000000,33 seconds,3
!2004fallsweeper,4,1076568896800,2 minutes,4
!2004springspring_alex,4,2779360000000,5 minutes,4
!2004testjuliet,4,48980800000,5 seconds,3
!2004testspring,4,37653400000,4 seconds,3
!2004winterman252,4,3455200000000,6 minutes,4
!2004wintertrendy,4,766234000000,1 minute,3
!2005#winterhoney,4,237808000000,24 seconds,3
!2005fallmango1,4,1058777012800,2 minutes,4
!2005springdanny,4,40076200000,4 seconds,3
!2005springjason,4,20290000000,2 seconds,3
!2005springtestdavid,4,8510680000000,14 minutes,4
!2005summerspringschooledad,4,288622000000000000,11 months,5
!2005testwinter,4,10478800000,1 second,3
!2005userlulu,4,190262800000,19 seconds,3
!2005winterbuck,4,73421200000,7 seconds,3
!2005wintersonny,4,41057200000,4 seconds,3
!2006#testdawn,4,58690000000,6 seconds,3
!2006#testpuppy,4,1037980000000,2 minutes,3
!2006_alexeytest,4,1906228000000,3 minutes,3
!2006fallkrisstine,4,1743474400000000,2 days,4
!2006jill29test,4,2227600000000,4 minutes,4
!2006springdaisy22,4,24339640000000,41 minutes,4
!2006springkelly,4,27154600000,3 seconds,3
!2006springshawnshawn,4,73591600000,7 seconds,3
!2006springspring1277,4,1129893280000,2 minutes,4
!2006test2129,4,330100000000,33 seconds,3
!2006testsummer#,4,1169408800000,2 minutes,4
!2006useradmin,4,673201000000,1 minute,3
!2006userfall,4,330100000000,33 seconds,3
!2006winternycandrew,4,23320000000000,39 minutes,4
!2006wintervonne,4,1245520000000,2 minutes,4
!20071231@summer,4,1001462744800,2 minutes,4
!2007admin2004,4,21550000000,2 seconds,3
!2007adminuser,4,673201000000,1 minute,3
!2007falltangerine,4,1086974668000,2 minutes,4
!2007springlady_,4,1888360000000,3 minutes,4
!2007springmaggie,4,24328000000,2 seconds,3
